,Tracking Number,Description/Basis for Appeal
1476,EPA-R3-2013-007723,"Enercon Services, Inc. (ENERCON) is conducting a Phase I Environmental Site Assessment at a property located at: 

956 Greentree Rd, Pittsburgh, PA  15220 (\Subject Property\"") "
1484,EPA-R10-2013-005800,"April 24, 2013

Via Online FOIA Request

U.S. Environmental Protection Agency
1200 Pennsylvania Avenue, NW (2822T)
Washington, DC 20460

Re:	Freedom of Information Act Request
Portland Harbor Superfund Site
Our File No.:	73/02544

Dear Sirs:

Pursuant to the Freedom of Information Act, 5 U.S.C. § 552, we hereby request a copy of the CERCLA Section 104(e) Response, and any supplemental or amended responses, submitted by ESCO Corporation with respect to the Portland Harbor Superfund Site.  We understand that this document is contained in section 11.3.141.1 of the site file, and that it is available in the Superfund Document Management System (?SDMS?). 

If you have any questions, please do not hesitate to contact me.  Thank you for your assistance in this matter.

Very truly yours,

Paul A. Mockford"
1485,EPA-R8-2013-004262,"*this request is for both REGION 8 and WYOMING SDWA Data*

In response to a special registration review by USEPA, Syngenta Crop Protection continues a project to assess human exposure to the triazine herbicides through drinking water.  The Safe Drinking Water Act (SDWA) specifies monitoring requirements for Community Water Supplies (CWS) for atrazine and simazine.  The primary compounds of interest in this study are atrazine, simazine, metolachlor, and s-metolachlor.  

Waterborne Environmental, Inc. has been contracted by Syngenta to compile monitoring results for atrazine, simazine, metolachlor, and s-metolachlor in drinking water on an annual basis.  To accomplish this task, we are requesting your assistance in obtaining CWS information and finished water monitoring data from tribal CWSs for all of 2011 and 2012 (including detections and non-detections).  We are asking for 2011 data again in order to capture any additional data that might have been missed in our requests last year.  The attached request form details the minimum data requirements.  Please include sample data for systems that are active or inactive at this time.  If there are any CWSs that are not routinely included in your database, please provide us with their contact information so that we can contact them directly.

This e-mail is a formal Request for Information.  If you are able to send attachments electronically, please send them to my e-mail address at johnsonl@waterborne-env.com.  If this is not convenient please mail the information by Federal Express to my attention, and include an invoice if there are charges for completing the task.

If you have any questions, please contact me at 703-777-0005.

Thank you for your time and assistance.


Linda Johnson
Senior Soil Scientist
Waterborne Environmental, Inc.
897-B Harrison Street, S.E.
Leesburg, VA 20175
 
Phone: 703-777-0005
Fax: 703-777-0767
E-mail: johnsonl@waterborne-env.com"
1486,EPA-R9-2015-002068,"re:E.I. Dupont De Nemours & Co.
6000 Bridgehead Road
Antioch, CA
 
1965-present
1.	Records  regarding incidents, inventories, correspondence, abatement, release, handling, storage, materials handling, materials, etc. involving asbestos or asbestos-containing products or those suspected of being so, as well as other emissions of carcinogens.
2.	Records relating to dust or air monitoring, safety practices and protocol and training procedures regarding asbestos and/or hazardous emissions in general including, but not limited to all records, reports, notes, memoranda, photographs, correspondence, drawings, complaints, inspections, investigations, inquiries and any other materials.
3.	Records relating to health or safety inspections by local, state or federal regulatory agencies regarding asbestos and/or hazardous emissions in general including, but not limited to all records, reports, notes, memoranda, photographs, correspondence, drawings, complaints, inspections, investigations, inquiries and any other materials.
4.	Records relating to remediation, asbestos abatement, including but not limited to air and dust monitoring records; records of installation and construction, usage, maintenance, repair and removal; material specifications; design specifications; order cards; bills of materials; lagging drawings; assembly drawings; engineering drawings and blueprints.
5.	Records relating to asbestos and hazardous waste disposal and transportation, including but not limited to waste disposal manifests, permit records, reporting documentation, certifications and training documentation pursuant but not limited to the National Emission Standards for Hazardous Air Pollutants and Resource Conservation and Recovery Act.
6.	Records relating to licenses, permits and certifications granted or revoked by the United States Environmental Protection Agency regarding asbestos or hazardous emissions in general."
1487,EPA-HQ-2012-001252,"Requesting all documents from January 1, 2009 to the date of letter that relates to EPA Adminstrator's non-discretionary duty to take certain actions under CAA, CWA, RCRA or SIP."
1488,DOC-CEN-2014-000021,Copies of export documentation and correspondence on behalf of a client.
1489,CBP-2014-042936,The description of this request is under Agency review.
1490,CBP-2014-039959,"I WOULD LIKE TO HAVE MY RECORDS FOR REVIEW. I WAS DETAINED ON OR AROUND 2001, NEAR HIDALGO, TX"
1491,EPA-R9-2014-005040,"The Environmental Protection Agency conducted an elaborate clean-up of mercury contamination in and near the eastern arm of Clear Lake, in Northern California's Lake County in the 1990s and 2000s.  In 1998, the EPA's Region 9 office conducted overflight testing of mercury contamination in the area.  As I understand it, the EPA contracted with a testing laboratory based in Cincinnati, OH to assess the data compiled in the overflight operation.  In accordance with the Freedom of Information Act, I request copies of the following materials pertaining to these overflights and associated laboratory analyses: 

* All information and data the EPA provided the laboratory to analyze in connection with its assessment of mercury contamination in Clear Lake and on surrounding lands.
* All the information and write-ups the laboratory supplied to the EPA in connection with assessing mercury contamination in Clear Lake and on surrounding lands.
* All data procured in the course of overflight testing of mercury contamination in Clear Lake.
* All videos taken during said overflight testing.

I ask for a determination on this request within 10 days of your receipt of it, and an even prompter reply if you can make that determination without having to review the records in question.

If you determine that any or the information qualifies as exempt from disclosure, please note whether, as is normally the case under the Freedom of Information Act, the exemption is discretionary, and if so whether it is necessary in this case to exercise your discretion to withhold the information. Please cite the legal authorities on which you rely in making any decision not to disclose these records.

If the appropriateness for disclosure of some of the requested records cannot easily be determined while others can, please do send me those which are cleared for disclosure as soon as possible and withhold the others until their eligibility is determined.

Cordially,"
1492,EPA-R4-2013-000969,"VIA E-MAIL

U.S. Environmental Protection Agency
Region 4 Freedom of Information
SNAFC Bldg, 61 Forsyth Street., S.W., 9th Fir
Atlanta, GA 30303-8960 r4foia@epa.gov

Re:      Freedom of Information  Act Request

Dear FOIA Officer:

Please accept  this request  for information  on behalf  of the JobKeeper  Alliance (\JobKeeper\"") "
1511,EPA-R10-2013-004847,"I would like to review or receive a copy of the responses of Sternco Industrial Properties Partnership and/or Sternoff Metals LLC to EPA's 104(e) Request regarding the Lower Duwamish Waterway.
Thank you."
1512,EPA-R5-2015-003259,"Request documentation for all actions listed for the Archived Superfund Site under the Site Name \N-REN CORP E DUBUQUE PLT ST PAUL AMMONIA\""; EPA ID: ILD980612063"
1514,EPA-R5-2014-000933,The description of this request is under Agency review.
1515,EPA-R5-2013-006813,"We request a copy of  a response dated on or about May 25, 2006, by Landreth Law Firm as counsel for Glenn Springs Holdings, Inc., on behalf of Cities Service Company, to EPA's 104(e) Information Request for the Residential Portion of the USS Lead Site, 5300 Kennedy Avenue, East Chicago, Indiana.  We request the transmittal letter, addressed to Linda Mangrum, Remedial Enforcement Support Section, SR-6J, and the attached response.  We do not require a copy of  the CD that was provided with the transmittal letter and response."
1516,EPA-R2-2014-004005,"1. All documents prepared by the EPA Region 2 staff in relation to the February 25, 2014 briefing held with the NYC Department of Education on the City's proposed Citywide remediation plan. You may exclude from your response the EPA's summary of the peer review comments already provided to us via a previously submitted FOIA.
2. All documents provided by the NYC DOE to the EPA  at the February 25, 2014 briefing."
1517,EPA-HQ-2015-003541,"I would like to request 10 articles: 
1. Hardisty, J. F. (2010). Pathology working group (PWG) review of epididymal tumors from two-year dietary oncogenicity studies with  nitrapyrin in B6C3F1 mice. (MRID 48210501)
2. Zeiger, E. (2010). Evaluation of the genetic toxicity of nitrapyrin. (MRID 48210504)
3. Eisenbrant, D.L., LeBaron, M. J., Gollapudi, B.B. (2010). Mode of action and human relevance framework for nitrapyrin-induced mouse liver tumors. (MRID 48210505)
4. Eisenbrant, D.L., LeBaron, M. J., Gollapudi, B.B., Lamb, J.C. (2010). Overview of the carcinogenicity of nitrapyrin in rodents and human relevance. (MRID 48210507)
5. Mecchi, M.S. (2007). Salmonella-Escherichia coli/mammalian microsome reverse mutation assay Preincubation method with a confirmatory assay with nitrapyrin TGAI. (MRID 47459801)
6. LeBaron, M.J. (2010). Cell proliferation analysis of liver from a subchronic (3-month) oral toxicity study in B6C3F1 mice- a retrospective study. (MRID 48210506)
7. LeBaron, M., Schisler, M., Kan, H., Thomas, J. (2010). Nitrapyrin technical: Analysis of molecular, cellular, and biochemical changes in the livers of male B6C3F1/CRL mice treated with nitrapyrin after 1- or 2-week treatment and a 3-week recovery. (MRID 48210503)
8. Kennelly, J. (1985) Study To Determine the Ability of Nitrapyrin To Induce Mutation in Four Histidine-requiring Strains of Salmonella typhimurium: Study No. DCE 3/S/SR/AF2. Unpublished study prepared by Microtest Research Limited. (MRID 151627)
9. Kirkland, D. (1985) Nitrapyrin: Micronucleus Test in Mice: Study No. DCE 3/MNT/AR/KF11. Unpublished study prepared by Microtest Research Ltd. (MRID 151628)
10. Linscombe, V.; Gollapudi, B. (1986) Evaluation of Nitrapyrin in the Chinese Hamster Ovary Cell/Hypoxanthine-guanine-phosphoribosyl Transferase (CHO/HGPRT) Forward Mutation Assay: Laboratory Report Code TXT:K-031304-022. (MRID 163805)"
1518,EPA-R2-2013-005304,"For environmental due diligence purposes, I am looking for any and all information maintained for 26 Elm Road, (Block 100, Lot 3), North Caldwell, Essex County, NJ, including but not limited to, heating source of the building (e.g., above grade and below grade oil tanks, permits), property surveys, any other maps or sketches, violations, NJDEP correspondence, hazardous materials, spills, wetlands, historic property ownership and development, existing and former tenant history, inspection/investigation notes, zoning, health issues, fires, on-site potable wells, monitoring wells, septic systems, self-reporting/any other records previously submitted by the existing and former property owners."
1519,EPA-R6-2015-003552,"Dear Mary Kemp/Region 6, Brownfields Coordinator,
Pursuant to the provisions of the Freedom of Information Act (FOIA) I am requesting the list of applicants for the Federal Fiscal Year 2015 EPA Brownfields Assessment and Cleanup (AC) grant competition. I am not requesting the proposals, simply the list of applicants and their affiliations. This list was generated as part of grant Threshold Criteria proposal review within Region 6 under the supervision of the Regional Brownfields Coordinator.
I understand that there may be a charge for labor and the coping cost associated with this request and I am willing to pay the cost.
Your assistance in providing this information is greatly appreciated. Thank you. Should you have any questions, please contact me at (913) 577-0410 or Guinn.Riffle@terracon.com. 

Thank you, 
Guinn Riffle
Terracon Consultants, Inc."
1520,DOC-NOAA-2013-001075,"1.	Any records that relate and/or pertain to bid(s) submitted to the NOAA by Eco Friendly Solutions, LLC  from January 1, 2009 to present, including, but not limited to proof of bond and/or insurance coverage; 

2.	Any records that relate and/or pertain to bid(s) submitted to the NOAA by Eco Friendly Home and Business Solutions from January 1, 2009 to present, including, but not limited to proof of bond and/or insurance coverage; 

3.	Any records that relate and/or pertain to bid(s) submitted to the NOAA from January 1, 2009 to present by, including, but not limited to proof of bond and/or insurance coverage:
a.	John Perkins, aka John E. Perkins, aka John Emory Perkins, aka Johnnie Perkins, aka Johnnie E. Perkins, aka Johnnie Emory Perkins.

4.	Any records that relate and/or pertain to contracts granted by the NOAA to Eco Friendly Solutions, LLC from January 1, 2009 to present, including, but not limited to proof of bond and/or insurance coverage, which shall include, but is not limited to the following contracts:
a.	Contract ID: DOCEA133C10SU1368;
b.	Contract ID: DOCEA133C10SU1368  

5.	Any records that relate and/or pertain to contracts granted by the NOAA to Eco Friendly Solutions from January 1, 2009 to present, including, but not limited to proof of bond and/or insurance coverage; 

6.	Any records that relate and/or pertain to contracts granted by the NOAA to Eco Friendly Home and Business Solutions from January 1, 2009 to present, including, but not limited to proof of bond and/or insurance coverage; 

7.	Any records that relate and/or pertain granted by the NOAA, including, but not limited to proof of bond and/or insurance coverage, from January 1, 2009 to present to:
a.	John Perkins, aka John E. Perkins, aka John Emory Perkins, aka Johnnie Perkins, aka Johnnie E. Perkins, aka Johnnie Emory Perkins."
1521,CBP-2014-040080,The description of this request is under Agency review.
1522,EPA-R5-2013-003300,"To whom it may concern:
 
This message is our request under the federal Freedom of Information Act, 5 USC 552, for the following records:
(1) Any comments or feedback, in draft or final form, submitted to the EPA by the PINES (People in Need of Environmental Safety) group or their technical advisors (Geo-Hydro) regarding the investigation of the Town of Pines, Indiana alternative superfund site.
(2) Any responses to the above comments generated by the EPA, or by the potentially responsible parties, or by AECOM, the consultants to the site?s potentially responsible parties; please include all draft or final responses to comments.
(3) Any communications to or from the EPA regarding the comments submitted by the PINES group or their technical advisors, including but not limited to letters and emails.

If the requested records are kept electronically, please send them in a widely used format (preferably importable to Excel, Word or Access).
 
Please send the requested records and any other reply to my e-mail address: lwallace@wbez.org
 
I look forward to hearing from you via e-mail within 20 working days, as required by 5 USC 552. If you choose to deny this request, please provide a written explanation for the denial, including a reference to the specific statutory exemption(s) upon which your denial is based.
 
If I can clarify my request or if you have any questions, please contact me at 312-948-4768 or lwallace@wbez.org
 
Thank you."
1523,EPA-HQ-2014-002227,"I request that I be sent, in electronic form if available, documents and correspondence related to the Inspector General's investigation of the Chemical Safety Board opened July 22 related to the leaked identity of a whistleblower to the Office of Special Counsel. This includes correspondence between EPA officials and CSB chairman Rafael Moure-Eraso, counsel Richard Loeb and other CSB officials. This also includes correspondence with Office of Special Counsel related to CSB personnel matters and the ongoing investigation.

I am filing this FOIA request as a member of the news media as a reporter for Greenwire. This designation entitles me to a waiver of fees accumulated during the actual search and review process. If your agency does determine that I should be charged for any part of this request, please contact me before any searches reach an estimate cost of $25.

Thank you."
1524,EPA-HQ-2014-002856,Requesting the reports on EPA OIG closed cases on the American Recovery and Reinvestment Act from the period of 1/1/2013 - 11/18/2013 with the listed cases numbers.
1525,CBP-2014-039660,"I WOULD LIKE TO HAVE MY RECORDS FOR REVIEW. I WAS DETAINED ON OR AROUND 2002, NEAR PROGRESSO, TX ."
1526,EPA-R2-2014-006532,"Documents relating to any and all activities conducted by Weston Chemical Corp. (?Weston Chemical?) at the manufacturing facility located at 185 Foundry Street, Newark, New Jersey, Block 5005 Lot 6, and at any other Newark address where Weston Chemical Corp. may have operated (?the Facilities?), including but not limited to:
a)	All documents identifying or otherwise describing the Facilities? operations;
b)	Any and all permits, licenses, or approvals granted by the Environmental Protection Agency (?EPA?) to the Facilities and any applications for such permits, licenses, or approvals;
c)	Documents regarding any and all environmental discharges by the Facilities, including the discharged contaminants, and the amount, location, receiving water, treatment and date of each discharge;
d)	Documents of any and all visits, investigations, inquiries, and observations made by EPA of the Facilities;
e)	Documents regarding any and all fines, penalties, restrictions, or requirements imposed by EPA on the Facilities;
f)	Documents regarding any and all remedial actions taken at the Facilities; and
g)	Any and all reports, data, or other documents submitted to EPA by the Facilities or received by the Facilities from EPA."
1527,EPA-HQ-2014-001039,Requesting access to and copies of electronic records of EPA carrier registrations and hazardous e-pernit applications for businesses for years 2008 - present.
1528,CBP-2015-001219,The description of this request is under Agency review.
1529,EPA-R10-2014-004181,"I would like a list of the following, which are pertaining to CERCLA files for the Lower Duwamish Waterway Superfund site:

1) All 104(e) request recipients which have not responded to the EPA
2) A list or table of the number of documents that were returned with each 104(e) recipient's response that did respond. If this is better expressed in total gigabits or megabits of data that is OK as well.

If this request is excessively difficult to complete, or would be better expressed in different language or different content, please feel free to contact me. I would like to correspond with whoever is assigned to the request prior to processing the request for clarity. My email listed in the best method of contact.

I would like the response in electronic format, delivered via FTP if possible. Thanks!"
1530,CBP-2014-042941,The description of this request is under Agency review.
1531,EPA-R4-2014-000212,"This is a request for any additional documents responsive to FOIA Request EPA-R4-2013-008776 generated or created on or after January 1, 2013.  Accordingly, this FOIA Request requests all documents created or generated on or after January 1, 2013 related to EPA?s consideration of a proposed Georgia discharge permit, dated in August 2012, under Georgia's approved National Pollutant Discharge Elimination System (NPDES) permit program. This request includes e-mail and correspondence exchanged with the State of Georgia, the State of Florida, Leon County, Florida, representatives of BASF and its consultants and counsel, congressional inquiries about this matter, and any other correspondence or other documents concerning EPA?s consideration of this proposed permit. This request includes all correspondence, dated on or after January 1, 2013, regarding compliance of the BASF plant with its prior 2001 permit, which remains in force pending decision on the proposed permit, and any decision to set the matter for administrative hearing, or forego a hearing as to any provision or aspect of the pending permit renewal. Documents previously provided in response to FOIA Request EPA-R4-2013-008776 concerning this manufacturing facility need not be provided again.
 
Please advise of any costs that exceed $250.00"
1532,CBP-2015-014584,The description of this request is under Agency review.
1533,EPA-R3-2013-007761,"I would like to request the Notice of Violation issued by the EPA for NSR violations under the Clean Air Act, which resulted in a Consent Decree between the parties for:

- Lafarge North America, Inc.: Consent Decree Dated: 1/21/2010

I DO NOT NEED PAPER COPIES!! Electronic versions would be perfect and much appreciated!!

Many thanks,
J."
1534,EPA-R9-2014-008619,"US EPA 
Pacific Southwest, Region 9
 
To Whom It May Concern: 
 
Hillmann Consulting, LLC would like to request records for properties located at:
 
Parcel #EA-694, Middle Road, (West Side), Garapan, Saipan, North Mariana Islands
Parcel #1865 & 1867-9 (Adjoining Parcel-North, appears to be Shell Station or former Shell Service Station, Middle Road, West Side, Gualo-Rai), Garapan, Saipan, North Mariana Islands
 
We are looking for records regarding above and underground storage tanks, violations and/or permits, spills, hazardous materials and any other information of environmental concern as we are conducting a Phase I Environmental Site Assessment.  We have attached some maps which may assist in locating the properties we are inquiring about.   My contact information is listed below.
 
Joanne Bedkowski
Hillmann Consulting, LLC
1600 Route 22 East
Union, NJ 07083
Phone: (908) 688-7800
Fax: (908) 686-2636
E-mail:  jbedkowski@hillmanngroup.com"
1535,EPA-R3-2013-001594,"514 and 518 4th Street, S.E. 			
Washington, D.C. 20003
ECC Project # 12-11045

ECC is currently performing a Phase I Environmental Site Assessment for the above-referenced locations. In order to completely understand the environmental history of the referenced sites, ECC would appreciate any and all information you can provide regarding previous reports of dumping or other environmental issues, and previous or pending enforcement actions for these locations. 

ECC understands there may be fees associated with this request.  ECC is authorizing charges up to $25.00. Please notify our office prior to incurring any fees above that amount. ECC would like to thank you for your cooperation in this matter. Should you have any questions regarding this request, please do not hesitate to contact me via email lsalcantara@eccfirst.com or via phone (703) 327-2900."
1536,EPA-R2-2013-005844,"Advocates for a Responsible Government, LLC respectfully requests copies of documents relating to the below matter: 

IDVPIID/PIID/MOD: EPS21001 / 0046 / 5 
Recipient: KEMRON ENVIRONMENTAL SERVICES, INC. 1595 SPRING HILL RD STE 310, VIENNA, VIRGINIA 
Program Source: 68-8145 
Department/Agency: Environmental Protection Agency 
Product/Service: F108: ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION 
Description: OT ? INCREMENTAL FUNDING TO CONTINUE REMOVAL ACTIVITIES AT THE FORMAL ZURBRUGG SITE 
DATE CONTRACT SIGNED: 09-28-2012
Obligation Amount: $747,433 

Copies of the following documents are respectfully requested: 

1. Any and all invoices submitted to EPA by Kemron Environmental Services, INC including all invoice back-up relating to the above matter. 
2. Any and all change orders and/or requests for contract modification submitted to EPA by Kemron Environmental Services, INC relating to the above matter. 
3. A copy of the contract and scope of work awarded to Kemron Environmental Services, INC for the above matter. 
4. Any and all correspondence (including letters, e-mails, and faxes) between EPA and Kemron Environmental Services, INC relating to the above matter."
1537,EPA-R7-2014-004645,"Pursuant to the Freedom of Information Act, the firm is requesting any and all documents in the possession, custody of control of the U.S. Environment Protection Agency regarding a fertilizer manufacturing facility located at 502 Erin Avenue in Melrose, Iowa.  The facility is currently owned by Quality Ag Service of Iowa, Inc.  It was previously owned by Farmer's Cooperative.

We would like to request any and all documents regarding this facility.  The request includes, but is not limited to, correspondence, memoranda, e-mails, inspection reports, photographs, surveys, environmental impact studies, incident reports and any and all other reports or documents, including any \Phase I Inspection conducted in 1993\"" regarding this property or facility."""
1538,DOC-OS-2013-000714,"Name, contact number, location and e-mail for the current Transportation Coordinator managing the national program for your agency and each location representative which manages the local Employee Mass Transit Commuter Program for all locations within your organization both inside and outside the National Capital Region.  A report which states in a dollar amount, the monthly total cost each facility location receives relating to the Employee Mass Transit Communter Program in the form of a benefit or purchase card allotment for QTR 1 and QTR 2, and FY 2013."
1539,EPA-HQ-2014-003830,"To the National Freedom of Information Officer, 
Pursuant to the state open records law, D.C. Code Secs. 2-531 to 2-540, I write to request access to and a copy of: 
----- All documents submitted to the EPA from the West Virginia American Water Company, including but not limited to documents submitted on February 18, 2014. I am seeking an expedited request for this information as it should be easy to identify and retrieve, is time sensitive and will be used for general public information purposes. 
I agree to pay any reasonable copying and postage fees of not more than $500. If the cost would be greater than this amount, please contact me at 424-204-4811. Please provide a receipt indicating the charges for each document. 
As provided by the Freedom of Information Act, I would request your response within fifteen (15) business days. See D.C. Code Sec. 2-532(c). 
As I am making this request as a journalist and this information is time-sensitive, I would appreciate your communicating with me by e-mail and sending information electronically when possible. 
If you choose to deny this request, please provide a written explanation for the denial including a reference to the specific statutory exemption(s) upon which you rely. Also, please provide all segregable portions of otherwise exempt material. 
Sincerely, 
Alexandra Berzon 
Wall Street Journal 
424-204-4811"
1540,EPA-R5-2014-009678,"(1) All documents, correspondence, or any tangible thing related to or referencing the presence of any asbestos or asbestos-containing materials between 1940 and the present at the below locations; (2) All documents, correspondence, or any tangible thing related to or referencing the remediation or removal of asbestos or asbestos-containing materials between 1940 and the present at the below locations; and (3) All documents, including plans, drawings, blueprints, permits, licenses, and/or change orders relating to any demolition or renovations projects conducted between 1940 and the present at the below locations.


?	Mason Middle School, 235 Temple Street, Mason, Michigan 48854
?	Eaton Rapids Middle School, 815 Greyhound Drive, Eaton Rapids, Michigan 
?	Mason General Hospital (now called Sparrow Urgent Care), 800 E. Columbia Street, Mason, Michigan 48854 
?	General Motors, 920 Townsend Street, Lansing Charter Township, Michigan 

If you have any questions or need additional information, please do not hesitate to contact me."
1541,EPA-HQ-2012-002605,"3525 E. Washington Street, Indianapolis IN"
1542,EPA-R5-2011-000301,Ashland / Northern States Power Lakefront NPL site in Wisconsin
1543,EPA-R1-2014-006786,"Dear Frank Gardner,	
	
Pursuant to the provisions of the Freedom of Information Act (FOIA) I am requesting the list of applicants for the Federal Fiscal Year 2014 EPA Brownfield Assessment, Revolving Loan Fund and Cleanup (ARC) grant competition that underwent Threshold Criteria review by EPA Region 1. This list was generated in January 2014 as part of grant proposal review supervised and conducted within Region 1 by you (Frank Gardner), Brownfields Coordinator. 
	
I understand that there may be a charge for your time and the copying costs associated with this request and am willing to pay these costs. 

Your assistance in providing this information is greatly appreciated. Thank you. Should you have any questions, please contact me at (913) 577-0410. 

Thank you, 

Guinn Riffle 
Terracon Consultants, Inc."
1544,EPA-R3-2015-001753,"Waterkeepers Chesapeake hereby requests the following Documents in EPA Region 3?s possession, custody, or control, including Documents prepared by a consultant or contractor, dated from January 1, 2009 to the present, related to the S.E.W. Friel ? Wye Mills Plant (Facility Registry System ID: 110008477852), located1 at 120 Friel?s Road, Wye Mills, MD 21679:   See attched request letter for details"
1545,EPA-R10-2013-000889,"Please include all records pertaining to environmental permits and/or permit violations (e.g. Title V permits; air permits; wastewater permits; stormwater permits; waste handling, storage, transporting, and processing permits; operating permits; etc.) at the following cathode ray tube (CRT) Processing facility: 

Universal Recycling Technologies 
Oregon Facility 
10151 S.E. Jennifer Street 
Clackamas, OR 97015"
1546,DOC-OS-2013-000341,"All communications, including but not limited to e-mail, letters, analyses, talking points, and memos, between the Department of Commerce and the FTC regarding the Commission's antitrust inquiry into Google. (See \Attached Supporting Files\"")"""
1547,EPA-R7-2014-006371,"Facility ID No. MOD029800695
Katco Industries Inc.
18100 E. Truman Road
Independence, MO 64086
CERCLIS -NFRAP information:
Initial Assessment Documentation (Preliminary Assessment completed 10/27/1986)/NFRAP Documentation"
1548,EPA-HQ-2014-005094,"Request all position descriptions already in electronic format of  EPA employees working in NPDES compliance and enforcement programs (i.e., exclude nonprogrammatic support staff such as attorneys and scientists) in EPA headquarters and Regions 1, 2, 3, 4, 5, 6, 7, 8, and 9."
1549,EPA-R2-2015-000842,"Ms. Wanda Calderon
Freedom of Information Officer					
USEPA Region 2
290 Broadway, 26th Floor
New York, New York 10007-1866

Re:	Freedom of Information Request
71 Park Avenue
New York, NY 10016 
	
			
Madam:

I am writing you under the provision of the New York Freedom of Information Law (Article 6, Public Officers Law) to request access to certain information available from your agency.  I would like to receive information regarding the known or potential environmental and public health hazards posed by the site located at the following address:

Tax Block, Lot	Address	Alternate Address(s)
Block 894, Lot 7503	71 Park Avenue, New York, NY 10016	NA

Specifically, I would like to obtain:

?	A summary of any record of decision regarding investigation or clean up at the site;
?	Notification of the lead agency that is primarily responsible for investigating and cleaning up the site;
?	Notification of any legal action involving the site;
?	Detailed reports, monitoring data, regulatory non-compliance notices, documents or studies regarding any pollution problems at this site, and how I may obtain copies of them or review them in person.

If there are any fees imposed for searching or copying the materials I have requested, please inform me of that fact before filling this request.  I would appreciate your handling this request as quickly as possible.  Thank you for your attention.  I await your reply.


Sincerely,
STV Incorporated"
1550,EPA-HQ-2015-001851,"In responses to previous FOIA requests, I have received correspondence logs from Congress to EPA identifying specific pieces of correspondence by control number and congressional office. We are now requesting specific pieces of correspondence identified in those correspondence logs. 

Please include attachments, enclosures or any other documents that were provided with the piece(s) of correspondence sent to your agency in its original form. In addition, please provide all direct agency responses to the requested pieces of correspondence. 

We request the following pieces of correspondence listed by their control numbers and congressional offices, in electronic form if possible:
AL-14-000-6493, Patty Murray
AL-14-0004153, Adam Kinzinger
AL-14-000-3855, Sherrod Brown
AL-14-001-0003, Tom Udall
AL-14-001-0005, Raul Grijalva
AL-14-000-7100, Mark Warner
AL-14-000-5041, Mark Warner
AL-14-000-8495, Mark Warner
AL-14-000-8212, Mario Diaz-Balart
AL-14-000-8196, Bob Goodlatte
AL-14-000-4303, Carl Levin
AL-14-000-4396, Greg Walden
AL-14-000-7997, Gary Peters
AL-14-000-8908, Lamar Alexander
AL-14-000-4395, Benjamin Cardin
AL-14-001-0306, Joseph Pitts
AL-14-000-5480, Devin Nunes
AL-14-000-8002, Tammy Baldwin
AL-14-000-8902, Barbara Mikulski
AL-14-000-9315, Peter Welch
AL-14-000-9997, Mitch McConnell
AL-14-000-8056, Roy Blunt
AL-14-000-5465, Chuck Schumer
AL-14-000-8241, Jim Costa
AL-14-000-7361, John Thune
AL-14-000-4759, Bobby Rush
AL-14-000-7504, Susan Collins

FOIA requires that if part of a record is exempt from disclosure, you must redact and release all segregated parts. Please describe the deleted material in detail and specify the reasons for believing that the alleged statutory justification applies in this instance. If my request is denied in whole or in part, please specify which exemption(s) is (are) claimed for each passage or whole document denied. 

I look forward to hearing from your office within 20 days."
1551,EPA-HQ-2015-001781,"I am requesting two letters to EPA from Sen. Mark Warner: 

The first, dated March 14, 2014, has the control number AL-14-000-7099 and the subject is: Will John Beal[e] receive full pension and retirement benefits. 

The second dated March 31, 2014, has the control number AL-14-000-8293 and the subject is: Region 2 administrator found using private email account. 

I am also requesting EPA's responses to these two letters."
1552,CBP-2014-038892,"We are requesting proof that either voluntarily returned or was expeditiously removed to Mexico by then-Immigration and Naturalization Service on or around March 25, 1998."
1553,CBP-2014-038462,"I WAS DETAINED 2 TIMES ON OR AROUND 02/2001 AND 01/2003 IN LAREDO, TX. I WOULD LIKE TO HAVE MY RECORDS FOR REVIEW. PHOTOS AND FINGERPRINT WERE TAKEN."
1554,DOC-NOAA-2014-000469,"Letters, Emails and Correspondence submitted to the Bay Delta Conservation Plan address after 12/13/13."
1555,EPA-R5-2014-009070,"Comanche Oil Corp (SIA) 
400 E Jefferson Street
Springfield, IL 62701"
1556,EPA-R3-2015-003266,"RE: 68Th Street Dump Superfund Site, Rosedale, Baltimore County, Maryland

Pursuant to FOIA, 5 U.S.C. §552, we request the following related to the above site:

Any Section 104(e) requests to and any Section 104(e) responses from any of the following: 

1. American Can Company 
2. Citigroup Inc. 
3. Primerica 
4. MRC Holdings Inc. 
5. MRI Corporation 

In addition to the above named companies,  please provide any and all 104(e) requests and responses, provided by any company, that relate to the former M&T Chemicals, Inc.?

Thank you."
